ENODEB_ID,CELLID_PCELL,CARRIER_FREQ,RSRP_PCELL,RSRQ_PCELL,PCI_PCELL,LONGITUDE_25,LATITUDE_25,PAYLOAD_NGBR_DL_MB,PAYLOAD_NGBR_UL_MB,DL_NON_GBR_TPUT_KBPS,UL_NON_GBR_TPUT_KBPS,WB_CQI,SAMPLES_DENSITY
239310,61263367,1275,-103,-16.5,402,39.7413017631661,43.6105040270941,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-16.62,402,39.7416142174717,43.6192698079383,0.000165,0.000889,\N,346,5,0.04
239310,61263367,1275,-103,-17,402,39.7225545048308,43.6093802090372,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-17,402,39.7266164108034,43.6145497720991,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-17,402,39.7344277684432,43.6269117707256,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-17,402,39.7363024942767,43.6158983537675,0,0,\N,0,6,0.01
239310,61263367,1275,-103,-17,402,39.7403644002493,43.6134259540422,0.000011,0.000002,\N,5,4,0.01
239310,61263367,1275,-103,-17,402,39.744426306222,43.6194945715497,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-17.5,402,39.7384896744158,43.6116278451511,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-18.5,402,39.726928865109,43.6152240629333,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.7184925988581,43.603536355141,0.010422,0.016979,473,505,2,0.01
239310,61263367,1275,-103,-19.5,402,39.7188050531637,43.603536355141,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.721617141914,43.6051097004208,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.7247416849699,43.6154488265447,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.7253665935811,43.6096049726486,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.728491136637,43.6134259540422,\N,\N,\N,\N,\N,0.01
239310,61263367,1275,-103,-19.5,402,39.7369274028879,43.6149992993219,\N,\N,\N,\N,\N,0.01
